[1, 1, 'Õº Èπ›', 102, 155922, 3.9]
[1, 1, 'Õº Èπ›', 109, 200255, 2.7]
[1, 1, 'Õº Èπ›', 116, 133123, 1.0]
[1, 1, 'Õº Èπ›', 1201, 150250, 20.0]
[1, 1, 'Õº Èπ›', 1222, 120038, 20.0]
[1, 1, 'Àﬁ…·', 101, 115055, 0.01]
[1, 1, 'Àﬁ…·', 101, 203059, 0.1]
[1, 1, 'Àﬁ…·', 101, 203301, 0.5]
[1, 1, 'Àﬁ…·', 102, 104850, 0.01]
[1, 1, 'Àﬁ…·', 102, 223002, 0.01]
[1, 1, 'Àﬁ…·', 102, 180620, 0.01]
[1, 1, 'Àﬁ…·', 103, 144709, 0.01]
[1, 1, 'Àﬁ…·', 103, 144710, 0.01]
[1, 1, 'Àﬁ…·', 103, 172105, 0.01]
[1, 1, 'Àﬁ…·', 103, 221121, 0.02]
[1, 1, 'Àﬁ…·', 104, 122350, 0.01]
[1, 1, 'Àﬁ…·', 104, 195133, 0.01]
[1, 1, 'Àﬁ…·', 105, 115058, 0.01]
[1, 1, 'Àﬁ…·', 105, 220350, 0.01]
[1, 1, 'Àﬁ…·', 106, 81602, 0.01]
[1, 1, 'Àﬁ…·', 106, 120123, 0.02]
[1, 1, 'Àﬁ…·', 106, 193842, 0.01]
[1, 1, 'Àﬁ…·', 107, 131311, 0.01]
[1, 1, 'Àﬁ…·', 107, 172321, 0.01]
[1, 1, 'Àﬁ…·', 107, 215532, 0.01]
[1, 1, 'Àﬁ…·', 108, 111525, 0.01]
[1, 1, 'Àﬁ…·', 109, 72438, 0.01]
[1, 1, 'Àﬁ…·', 109, 222620, 0.01]
[1, 1, 'Àﬁ…·', 110, 71456, 0.01]
[1, 1, 'Àﬁ…·', 110, 72654, 0.01]
[1, 1, 'Àﬁ…·', 110, 173419, 0.01]
[1, 1, 'Àﬁ…·', 110, 215057, 0.01]
[1, 1, 'Àﬁ…·', 111, 82659, 0.01]
